definedIn,groupName,groupId,groupLen,name,offset,type,validParse,sourceLine
DatConRecs,GoTxt,12,50,longitude,0,double,True,longitude = Math.toDegrees(payloadBB.getDouble(0));
DatConRecs,GoTxt,12,50,latitude,8,double,True,latitude = Math.toDegrees(payloadBB.getDouble(8));
DatConRecs,GoTxt,12,50,relativeHeight,16,short,True,relativeHeight = ((float) (payloadBB.getShort(16))) / 10f;
DatConRecs,GoTxt,12,50,pitch,24,short,True,pitch = ((float) (payloadBB.getShort(24))) / 10f;
DatConRecs,GoTxt,12,50,roll,26,short,True,roll = ((float) (payloadBB.getShort(26))) / 10f;
DatConRecs,GoTxt,12,50,yaw,28,short,True,yaw = ((float) (payloadBB.getShort(28))) / 10f;
DatConRecs,GoTxt,12,50,word32,32,int,True,word32 = payloadBB.getInt(32);
DatConRecs,GoTxt,12,50,flightTime,42,short,True,flightTime = payloadBB.getShort(42) * 100;
DatConRecs,RecBatt,17,45,design_capacity,0,UInt16,True,design_capacity = _payload.getUnsignedShort(0);
DatConRecs,RecBatt,17,45,ratedCapacity,2,short,True,ratedCapacity = (float) (((float) (payloadBB.getShort(2))));
DatConRecs,RecBatt,17,45,remainingCapacity,4,short,True,remainingCapacity = (float) (((float) (payloadBB.getShort(4))));
DatConRecs,RecBatt,17,45,totalVolts,6,short,True,totalVolts = (float) (((float) (payloadBB.getShort(6))) / 1000.0);
DatConRecs,RecBatt,17,45,crrnt,8,UInt16,True,crrnt = -(float) (((float) (_payload.getUnsignedShort(8) - 65536))
DatConRecs,svn_info,65534,0,payloadString,0,string,True,payloadString = _payload.getString();
DatConRecs,svn_info,65534,0,convertDat.cloPS.println(_payload.getCleanString());,0,string,True,convertDat.cloPS.println(_payload.getCleanString());
Created4V1,AirCraftCondition,70,39,craft_flight_mode,0,byte,True,craft_flight_mode = _payload.getUnsignedByte(0);
Created4V1,AirCraftCondition,70,39,nearGndState,1,byte,True,nearGndState = _payload.getUnsignedByte(1);
Created4V1,AirCraftCondition,70,39,launch_acc_duration,2,float,True,launch_acc_duration = _payload.getFloat(2);
Created4V1,AirCraftCondition,70,39,launch_delta_v,6,float,True,launch_delta_v = _payload.getFloat(6);
Created4V1,AirCraftCondition,70,39,launch_state,10,byte,True,launch_state = _payload.getUnsignedByte(10);
Created4V1,AirCraftCondition,70,39,thrust_proj_gnd,11,float,True,thrust_proj_gnd = _payload.getFloat(11);
Created4V1,AirCraftCondition,70,39,thrust_proj_gnd_compen,15,float,True,thrust_proj_gnd_compen = _payload.getFloat(15);
Created4V1,AirCraftCondition,70,39,thrust_compensator,19,float,True,thrust_compensator = _payload.getFloat(19);
Created4V1,AirCraftCondition,70,39,hover_thrust,23,float,True,hover_thrust = _payload.getFloat(23);
Created4V1,AirCraftCondition,70,39,dynamic_thrust,27,float,True,dynamic_thrust = _payload.getFloat(27);
Created4V1,AirCraftCondition,70,39,cos_safe_tilt,31,float,True,cos_safe_tilt = _payload.getFloat(31);
Created4V1,AirCraftCondition,70,39,safe_tilt,35,float,True,safe_tilt = _payload.getFloat(35);
Created4V1,HomePoint,13,34,longRad,0,double,True,double longRad = payloadBB.getDouble(0);
Created4V1,HomePoint,13,34,latRad,8,double,True,double latRad = payloadBB.getDouble(8);
Created4V1,HomePoint,13,34,height,16,float,True,height = payloadBB.getFloat(16);
Created4V1,HomePoint,13,34,rthHeight,22,short,True,rthHeight = payloadBB.getShort(22);
Created4V1,MotorCtrl,54,35,pwm1,19,UInt16,True,pwm1 = ((float) _payload.getUnsignedShort(19)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm2,21,UInt16,True,pwm2 = ((float) _payload.getUnsignedShort(21)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm3,23,UInt16,True,pwm3 = ((float) _payload.getUnsignedShort(23)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm4,25,UInt16,True,pwm4 = ((float) _payload.getUnsignedShort(25)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm5,27,UInt16,True,pwm5 = ((float) _payload.getUnsignedShort(27)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm6,29,UInt16,True,pwm6 = ((float) _payload.getUnsignedShort(29)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm7,31,UInt16,True,pwm7 = ((float) _payload.getUnsignedShort(31)) / 100.0f;
Created4V1,MotorCtrl,54,35,pwm8,33,UInt16,True,pwm8 = ((float) _payload.getUnsignedShort(33)) / 100.0f;
Created4V1,RecBatt,17,45,fcc,0,UInt16,True,fcc = _payload.getUnsignedShort(0);
Created4V1,RecBatt,17,45,ratedCapacity,2,short,True,ratedCapacity = (float) (((float) (payloadBB.getShort(2))));
Created4V1,RecBatt,17,45,remcap,4,short,True,remcap = (float) (((float) (payloadBB.getShort(4))));
Created4V1,RecBatt,17,45,totalVolts,6,short,True,totalVolts = (float) (((float) (payloadBB.getShort(6))) / 1000.0);
Created4V1,RecBatt,17,45,crrnt,8,UInt16,True,crrnt = -(float) (((float) (_payload.getUnsignedShort(8) - 65536))
Created4V1,RecController,0,43,aileron,4,short,True,aileron = payloadBB.getShort(4);
Created4V1,RecController,0,43,elevator,6,short,True,elevator = payloadBB.getShort(6);
Created4V1,RecController,0,43,throttle,8,short,True,throttle = payloadBB.getShort(8);
Created4V1,RecController,0,43,rudder,10,short,True,rudder = payloadBB.getShort(10);
Created4V1,RecMotor,52721,76,rfCurrent,1,short,True,rfCurrent = ((float) payloadBB.getShort(1)) / 100.0f;
Created4V1,RecMotor,52721,76,rfSpeed,3,short,True,rfSpeed = payloadBB.getShort(3);
Created4V1,RecMotor,52721,76,rfVolts,5,short,True,rfVolts = ((float) payloadBB.getShort(5)) / 10.0f;
Created4V1,RecMotor,52721,76,rfTemp,7,short,True,rfTemp = payloadBB.getShort(7);
Created4V1,RecMotor,52721,76,rfPPM_recv,9,short,True,rfPPM_recv = payloadBB.getShort(9);
Created4V1,RecMotor,52721,76,rfV_out,11,short,True,rfV_out = ((float) payloadBB.getShort(11)) / 10.0f;
Created4V1,RecMotor,52721,76,lfCurrent,20,short,True,lfCurrent = ((float) payloadBB.getShort(20)) / 100.0f;
Created4V1,RecMotor,52721,76,lfSpeed,22,short,True,lfSpeed = payloadBB.getShort(22);
Created4V1,RecMotor,52721,76,lfVolts,24,short,True,lfVolts = ((float) payloadBB.getShort(24)) / 10.0f;
Created4V1,RecMotor,52721,76,lfTemp,26,short,True,lfTemp = payloadBB.getShort(26);
Created4V1,RecMotor,52721,76,lfPPM_recv,28,short,True,lfPPM_recv = payloadBB.getShort(28);
Created4V1,RecMotor,52721,76,lfV_out,30,short,True,lfV_out = ((float) payloadBB.getShort(30)) / 10.0f;
Created4V1,RecMotor,52721,76,lbCurrent,39,short,True,lbCurrent = ((float) payloadBB.getShort(39)) / 100.0f;
Created4V1,RecMotor,52721,76,lbSpeed,41,short,True,lbSpeed = payloadBB.getShort(41);
Created4V1,RecMotor,52721,76,lbVolts,43,short,True,lbVolts = ((float) payloadBB.getShort(43)) / 10.0f;
Created4V1,RecMotor,52721,76,lbTemp,45,short,True,lbTemp = payloadBB.getShort(45);
Created4V1,RecMotor,52721,76,lbPPM_recv,47,short,True,lbPPM_recv = payloadBB.getShort(47);
Created4V1,RecMotor,52721,76,lbV_out,49,short,True,lbV_out = ((float) payloadBB.getShort(49)) / 10.0f;
Created4V1,RecMotor,52721,76,rbCurrent,58,short,True,rbCurrent = ((float) payloadBB.getShort(58)) / 100.0f;
Created4V1,RecMotor,52721,76,rbSpeed,60,short,True,rbSpeed = payloadBB.getShort(60);
Created4V1,RecMotor,52721,76,rbVolts,62,short,True,rbVolts = ((float) payloadBB.getShort(62)) / 10.0f;
Created4V1,RecMotor,52721,76,rbTemp,64,short,True,rbTemp = payloadBB.getShort(64);
Created4V1,RecMotor,52721,76,rbPPM_recv,66,short,True,rbPPM_recv = payloadBB.getShort(66);
Created4V1,RecMotor,52721,76,rbV_out,68,short,True,rbV_out = ((float) payloadBB.getShort(68)) / 10.0f;
Created4V1,RecSmartBatt,18,77,batteryUsefulTime,0,short,True,batteryUsefulTime = payloadBB.getShort(0);
Created4V1,RecSmartBatt,18,77,batteryStatus,20,short,True,batteryStatus = payloadBB.getShort(20);
Created4V1,RecTabletLoc,43,179,latRad,155,double,True,latRad = payloadBB.getDouble(155);
Created4V1,RecTabletLoc,43,179,longRad,163,double,True,longRad = payloadBB.getDouble(163);
Created4V3,AirCraftCondition,1001,16,intFlightState,0,byte,True,intFlightState = _payload.getUnsignedByte(0);
Created4V3,AirCraftCondition,1001,16,flightState,1,byte,True,flightState = _payload.getUnsignedByte(1);
Created4V3,AirCraftCondition,1001,16,lastFlightState,2,byte,True,lastFlightState = _payload.getUnsignedByte(2);
Created4V3,AirCraftCondition,1001,16,nearGndState,3,byte,True,nearGndState = _payload.getUnsignedByte(3);
Created4V3,AirCraftCondition,1001,16,UP_state,4,byte,True,UP_state = _payload.getUnsignedByte(4);
Created4V3,AirCraftCondition,1001,16,UP_acc_t,5,float,True,UP_acc_t = _payload.getFloat(5);
Created4V3,AirCraftCondition,1001,16,UP_TF_t,9,float,True,UP_TF_t = _payload.getFloat(9);
Created4V3,AirCraftCondition,1001,16,landState,13,byte,True,landState = _payload.getUnsignedByte(13);
Created4V3,AirCraftCondition,1001,16,safe_fltr,14,short,True,safe_fltr = _payload.getShort(14);
Created4V3,AirCraftCondition,1001,48,intFlightState,0,byte,True,intFlightState = _payload.getUnsignedByte(0);
Created4V3,AirCraftCondition,1001,48,flightState,1,byte,True,flightState = _payload.getUnsignedByte(1);
Created4V3,AirCraftCondition,1001,48,lastFlightState,2,byte,True,lastFlightState = _payload.getUnsignedByte(2);
Created4V3,AirCraftCondition,1001,48,nearGndState,3,byte,True,nearGndState = _payload.getUnsignedByte(3);
Created4V3,AirCraftCondition,1001,48,launch_state,4,byte,True,launch_state = _payload.getUnsignedByte(4);
Created4V3,AirCraftCondition,1001,48,launch_acc_dur,5,float,True,launch_acc_dur = _payload.getFloat(5);
Created4V3,AirCraftCondition,1001,48,launch_delta_v,9,float,True,launch_delta_v = _payload.getFloat(9);
Created4V3,AirCraftCondition,1001,48,launch_free_fall_dur,13,float,True,launch_free_fall_dur = _payload.getFloat(13);
Created4V3,AirCraftCondition,1001,48,launch_free_fall_delta_v,17,float,True,launch_free_fall_delta_v = _payload.getFloat(17);
Created4V3,AirCraftCondition,1001,48,landState,21,byte,True,landState = _payload.getUnsignedByte(21);
Created4V3,AirCraftCondition,1001,48,thrust,22,short,True,thrust = _payload.getShort(22);
